"Lat","Lon","Temp"
37.33062,-105.06749,28
40.35098,-106.38142,14
40.31118,-105.64483,26
40.06153,-107.00955,19
37.71409,-107.51212,25
39.59917,-106.51142,27
39.80392,-105.77789,13
39.76487,-107.35681,18
37.78972,-108.18365,26
40.888,-105.66397,26
39.08766,-106.5417,18
39.3035,-106.11307,27
40.22861,-106.59528,10
39.87505,-107.59853,24
38.89433,-106.953,26
37.65083,-107.80602,30
37.658,-107.80268,32
39.26217,-106.62931,19
38.16283,-106.59883,22
40.3948,-106.60408,17
38.41795,-108.38249,24
37.44147,-108.02445,31
40.20778,-105.56861,30
39.48954,-106.17095,16
40.16745,-107.0575,19
37.20945,-105.19959,26
37.01878,-106.45179,24
40.80571,-105.76993,17
40.53397,-106.7813,22
39.65627,-105.59345,28
37.78617,-108.02155,24
40.84781,-106.96871,22
40.79649,-107.10122,23
39.864,-106.4246,19
39.8687,-105.8675,14
39.37991,-106.19681,18
38.87583,-105.07367,27
37.47033,-106.53783,26
39.64631,-105.86973,20
38.29326,-105.8505,29
40.03592,-105.75471,17
39.36127,-106.05978,17
40.57913,-105.63068,24
37.9339,-107.67552,23
39.07539,-106.61169,17
39.29202,-106.54923,20
39.56667,-105.8,25
40.53215,-105.887,19
39.7645,-105.90623,17
39.31724,-106.61453,18
39.93678,-105.58956,24
40.41432,-105.8198,15
37.37929,-106.54835,29
37.79926,-107.92426,22
37.89183,-108.19544,26
40.5123,-105.7656,16
40.81588,-106.74835,22
39.67433,-105.90133,20
40.07806,-106.67028,14
37.43087,-108.16954,34
39.12897,-107.28806,27
39.60468,-106.54128,24
37.85164,-105.43614,26
39.05831,-108.05835,24
39.43577,-105.91078,23
37.61978,-107.03482,23
39.7956,-106.0273,15
37.84747,-107.72657,21
37.74932,-107.68866,23
37.96661,-106.55837,26
39.29722,-106.60694,17
40.40405,-105.95583,10
40.03523,-105.54426,25
39.07813,-107.14389,26
39.09056,-107.63472,21
38.81996,-106.58974,20
39.04644,-107.87414,21
40.39937,-105.84757,18
38.48884,-106.33965,17
40.36783,-106.74038,21
40.7075,-106.0076,23
37.8918,-107.71342,24
40.10812,-107.29411,18
40.87502,-106.04603,23
39.03333,-106.08333,28
38.69978,-106.36801,22
38.28555,-106.37069,23
40.13697,-105.58625,27
39.01522,-107.04877,20
37.64556,-108.00786,23
37.50357,-108.11373,31
37.9908,-107.20327,21
37.96811,-105.53787,24
37.69866,-107.77715,31
40.22543,-105.91977,18
37.47621,-107.63295,30
39.71796,-106.15802,15
40.53743,-106.6768,17
39.99884,-107.2362,20
37.35328,-105.23233,29
40.03279,-105.57615,22
37.72194,-107.26015,24
37.48576,-106.83535,22
38.99077,-106.75422,19
37.61497,-105.37327,27
39.61676,-106.38006,22
37.4851,-107.5068,31
37.88248,-107.3643,20
37.51976,-107.32152,33
37.21411,-105.12245,31
40.20105,-105.60248,26
40.34703,-106.09433,13
40.43254,-105.73337,18
37.47922,-106.8017,33
40.79488,-106.59535,21
